# syllables<TAB>word
# syllables use space-separated pinyin syllables, e.g. "shu ru fa".
jing jiu bu chi chi fa jiu	敬酒不吃吃罚酒
jing shen wen ming jian she	精神文明建设
jing shui bu fan he shui	井水不犯河水
jin shui lou tai xian de yue	近水楼台先得月
ji ren zi you tian xiang	吉人自有天相
ji shan zhi jia bi you yu qing	积善之家必有余庆
jiu bu zui ren ren zi zui	酒不醉人人自醉
jiu xiang bu pa xiang zi shen	酒香不怕巷子深
ji xing chuan ran bing	急性传染病
jun zi bu li wei qiang zhi xia	君子不立危墙之下
jun zi dong kou bu dong shou	君子动口不动手
ju ren yu qian li zhi wai	拒人于千里之外
kai chuang xin ju mian	开创新局面
ke bian cheng kong zhi qi	可编程控制器
ke lian tian xia fu mu xin	可怜天下父母心
kong bian shuang fang	控辩双方
kong huang wan zhuang	恐慌万状
kong shou tao bai lang	空手套白狼
lai er bu wang fei li ye	来而不往非礼也
lai ha ma xiang chi tian e rou	癞蛤蟆想吃天鹅肉
lang huan	琅嬛
lang zi hui tou jin bu huan	浪子回头金不换
lan ni fu bu shang qiang	烂泥扶不上墙
lao ai	嫪毐
lao ping zhuang xin jiu	老瓶装新酒
lao si bu xiang wang lai	老死不相往来
lei sheng da yu dian xiao	雷声大雨点小
lian chan cheng bao ze ren zhi	联产承包责任制
liang ge wen ming jian she	两个文明建设
liang hai xiang quan qu qi qing	两害相权取其轻
liang liang qiang qiang	踉踉跄跄
liang shen zhong shen zhi	两审终审制
liang xiang qing yuan	两厢情愿
liang xiang qing yuan	两相情愿
lian xiang dou bu gan xiang	连想都不敢想
li gong shou jiang zhe	立功受奖者
ling ren nan yi zhi xin	令人难以置信
li shan	历山
liu an hua ming you yi cun	柳暗花明又一村
liu yi guo ji er tong jie	六一国际儿童节
long feng cheng xiang	龙凤呈祥
lou luo	喽啰
luan dian yuan yang pu	乱点鸳鸯谱
luo suo	啰嗦
mai mai bu cheng ren yi zai	买卖不成仁义在
mao ku hao zi jia ci bei	猫哭耗子假慈悲
mao tian xia zhi da bu wei	冒天下之大不韪
mei guo zhong yang qing bao ju	美国中央情报局
mei li jian he zhong guo	美利坚合众国
mei you bu tou feng de qiang	没有不透风的墙
meng xiang cheng zhen	梦想成真
ming bu jian jing zhuan	名不见经传
ming bu zheng yan bu shun	名不正言不顺
ming ren bu shuo an hua	明人不说暗话
mi qie lian xi qun zhong	密切联系群众
mo dao bu wu kan chai gong	磨刀不误砍柴工
mo pan	魔盘
na ge ji mao dang ling jian	拿个鸡毛当令箭
nan deng da ya zhi tang	难登大雅之堂
nan er you lei bu qing tan	男儿有泪不轻弹
nan nv shou shou bu qin	男女授受不亲
nan yue	南乐
nian ping jun zeng zhang	年平均增长
nian ping jun zeng zhang lv	年平均增长率
nian sheng chan neng li	年生产能力
nie pan	涅槃
ning cheng yi gu sheng	拧成一股绳
ning xia hui zu zi zhi qu	宁夏回族自治区
ni ren ye you san fen tu xing	泥人也有三分土性
nong cun xin yong he zuo she	农村信用合作社
nong tian ji ben jian she	农田基本建设
nong ye sheng chan zi liao	农业生产资料
nong ye zai shang xin tai jie	农业再上新台阶
pei le fu ren you zhe bing	赔了夫人又折兵
peng you bian tian xia	朋友遍天下
piao piao liang liang	漂漂亮亮
ping jun ri chan liang	平均日产量
ping jun zeng zhang su du	平均增长速度
ping lun yuan wen zhang	评论员文章
pi ping yu zi wo pi ping	批评与自我批评
qian ding ning wan zhu fu	千叮咛万嘱咐
qiang dao zhong ren tui	墙倒众人推
qiang niu de gua bu tian	强扭的瓜不甜
qiang zhong geng you qiang zhong shou	强中更有强中手
qian li zhi di kui yu yi xue	千里之堤溃于蚁穴
qian yi fa er dong quan shen	牵一发而动全身
qiao fu nan wei wu mi zhi chui	巧妇难为无米之炊
qiao kou qu	硚口区
qing chu yu lan sheng yu lan	青出于蓝胜于蓝
qing guan nan duan jia wu shi	清官难断家务事
qing jiang bu ru ji jiang	请将不如激将
qing nian wen ming hao	青年文明号
qing pi ping zhi zheng	请批评指正
qing shao nian shi dai	青少年时代
qing ye	情液
qing zhuang shang zhen	轻装上阵
qin zhe tong chou zhe kuai	亲者痛仇者快
qi ren	奇仁
qi rong ta ren han shui	岂容他人鼾睡
quan guo ren min dai biao da hui	全国人民代表大会
quan zhong guo ren min	全中国人民
qu bie qing zhong huan ji	区别轻重缓急
rang wai bi xian an nei	攘外必先安内
ren cai jiao liu zhong xin	人才交流中心
ren feng xi shi jing shen shuang	人逢喜事精神爽
ren gong zhi neng ji shu	人工智能技术
ren gui you zi zhi zhi ming	人贵有自知之明
ren min dai biao da hui	人民代表大会
ren min min zhu zhuan zheng	人民民主专政
ren min ying xiong ji nian bei	人民英雄纪念碑
ren pa chu ming zhu pa zhuang	人怕出名猪怕壮
ren suan bu ru tian suan	人算不如天算
ren xin bu zu she tun xiang	人心不足蛇吞象
ren zao di qiu wei xing	人造地球卫星
ren zheng wu zheng ju zai	人证物证俱在
ru bao shan er kong hui	入宝山而空回
sa er wa duo gong he guo	萨尔瓦多共和国
se zi tou shang yi ba dao	色字头上一把刀
sha ji yan yong niu dao	杀鸡焉用牛刀
shang dao shan xia huo hai	上刀山下火海
shang liang bu zheng xia liang wai	上梁不正下梁歪
shang you lao xia you xiao	上有老下有小
shan ren zi you miao ji	山人自有妙计
shan yu yu lai feng man lou	山雨欲来风满楼
shao hua qian duo ban shi	少花钱多办事
shao nian xian feng dui	少年先锋队
shao shu fu cong duo shu	少数服从多数
sha ren bu guo tou dian di	杀人不过头点地
sheng bai nai bing jia chang shi	胜败乃兵家常事
sheng bu jiao bai bu nei	胜不骄败不馁
sheng chan li yu sheng chan guan xi	生产力与生产关系
sheng ming zai yu yun dong	生命在于运动
sheng mi zhu cheng shu fan	生米煮成熟饭
shen jiao zhong yu yan jiao	身教重于言教
shen long jian shou bu jian wei	神龙见首不见尾
shen ren	瘆人
shen sheng bu ke qin fan	神圣不可侵犯
shen tou yu fan shen tou	渗透与反渗透
shen zai cao ying xin zai han	身在曹营心在汉
shen zai fu zhong bu zhi fu	身在福中不知福
shen zheng bu pa ying zi xie	身正不怕影子斜
shi bai nai cheng gong zhi mu	失败乃成功之母
shi bai wei cheng gong zhi mu	失败为成功之母
shi bu guan ji gao gao gua qi	事不关己高高挂起
shi chu fan chang bi you yao	事出反常必有妖
shi jie ling xian di wei	世界领先地位
shi jie wei sheng zu zhi	世界卫生组织
shi jie xian jin shui ping	世界先进水平
shi qing kuang er ding	视情况而定
shi shen ren mian xiang	狮身人面像
shi shi wu zhe wei jun jie	识时务者为俊杰
shi yi jie san zhong quan hui	十一届三中全会
shi you shu chu guo zu zhi	石油输出国组织
shou de yun kai jian yue ming	守得云开见月明
shou di xia jian zhen zhang	手底下见真章
shuang ceng jing ying	双层经营
shuang chong shen fen	双重身份
shuang quan nan di si shou	双拳难敌四手
shui huo bu xiang rong	水火不相容
shui ye mei you xiang dao	谁也没有想到
shuo shi chi na shi kuai	说时迟那时快
shuo shi yan jiu sheng	硕士研究生
shu xiu	束脩
shu yu jing er feng bu zhi	树欲静而风不止
si ma dang zuo huo ma yi	死马当作活马医
